2026-03-16T09:43:11.099467091Z [inf]  Starting Container
2026-03-16T09:43:11.848561801Z [inf]  
2026-03-16T09:43:11.848569643Z [inf]  The database is already in sync with the Prisma schema.
2026-03-16T09:43:11.848574143Z [inf]  
2026-03-16T09:43:11.848662643Z [inf]  Running Prisma db push...
2026-03-16T09:43:11.848667071Z [inf]  Prisma schema loaded from prisma/schema.prisma
2026-03-16T09:43:11.848671401Z [inf]  Datasource "db": PostgreSQL database "railway", schema "public" at "postgres.railway.internal:5432"
2026-03-16T09:43:11.883681515Z [err]  npm notice
2026-03-16T09:43:11.883687832Z [err]  npm notice New major version of npm available! 10.8.2 -> 11.11.1
2026-03-16T09:43:11.883691294Z [err]  npm notice Changelog: https://github.com/npm/cli/releases/tag/v11.11.1
2026-03-16T09:43:11.883694615Z [err]  npm notice To update run: npm install -g npm@11.11.1
2026-03-16T09:43:11.883697953Z [err]  npm notice
2026-03-16T09:43:11.883701817Z [inf]  Starting server...
2026-03-16T09:43:12.444814357Z [inf]  Server listening at http://127.0.0.1:8080
2026-03-16T09:43:12.444818334Z [inf]  Server listening at http://10.147.27.231:8080
2026-03-16T09:43:12.444822162Z [inf]  🚀 HIREDGE API + WebSocket running on port 8080
2026-03-16T09:43:12.444826865Z [err]  [Redis] Connection error: 
2026-03-16T09:43:12.925552169Z [err]  [Redis] Connection error: 
2026-03-16T09:43:13.296402743Z [inf]  incoming request
2026-03-16T09:43:13.299831682Z [inf]  request completed
2026-03-16T09:43:13.952794750Z [err]  [Redis] Connection error: 
2026-03-16T09:43:15.458393876Z [err]  [Redis] Connection error: 
2026-03-16T09:43:17.438881254Z [err]  [Redis] Connection error: 
2026-03-16T09:43:19.938254469Z [err]  [Redis] Connection error: 
2026-03-16T09:43:22.935490652Z [err]  [Redis] Connection error: 
2026-03-16T09:43:26.439949725Z [err]  [Redis] Connection error: 
2026-03-16T09:43:30.495519770Z [err]  [Redis] Connection error: 
2026-03-16T09:43:34.988580996Z [err]  [Redis] Connection error: 
2026-03-16T09:43:40.107268321Z [err]  [Redis] Connection error: 
2026-03-16T09:43:45.453275184Z [err]  [Redis] Connection error: 
2026-03-16T09:43:51.479550899Z [err]  [Redis] Connection error: 
2026-03-16T09:43:57.964230659Z [err]  [Redis] Connection error: 
2026-03-16T09:44:04.969139112Z [err]  [Redis] Connection error: 
2026-03-16T09:44:12.717391073Z [err]  [Redis] Connection error: 
2026-03-16T09:44:20.805572348Z [err]  [Redis] Connection error: 
2026-03-16T09:44:28.986251902Z [err]  [Redis] Connection error: 
2026-03-16T09:44:38.191830365Z [err]  [Redis] Connection error: 
2026-03-16T09:44:47.498094000Z [err]  [Redis] Connection error: 
2026-03-16T09:45:07.495775115Z [err]  [Redis] Connection error: 
2026-03-16T09:45:07.513331052Z [err]  [Redis] Connection error: 
2026-03-16T09:45:27.433423825Z [err]  [Redis] Connection error: 
2026-03-16T09:45:27.527443707Z [err]  [Redis] Connection error: 
2026-03-16T09:45:47.519135924Z [err]  [Redis] Connection error: 
2026-03-16T09:45:47.545462363Z [err]  [Redis] Connection error: 
2026-03-16T09:46:07.543493434Z [err]  [Redis] Connection error: 
2026-03-16T09:46:07.558945112Z [err]  [Redis] Connection error: 
2026-03-16T09:46:27.279702787Z [err]  [Redis] Connection error: 
2026-03-16T09:46:27.757411711Z [err]  [Redis] Connection error: 
2026-03-16T09:46:47.508967460Z [err]  [Redis] Connection error: 
2026-03-16T09:46:47.589628610Z [err]  [Redis] Connection error: 
2026-03-16T09:47:07.586221690Z [err]  [Redis] Connection error: 
